product_name, product_type, price
Waikiki Beach Coconut,Super Smooth Body Lotion,$7.00
CocoShea Coconut,Moisturizing Body Wash,$13.50
Coconut Milk,Body Butter,$7.00
Pink Lily & Bamboo,Aqua Cool Aloe Lotion,$7.00
CocoShea Coconut,Body Lotion,$13.50
Waikiki Beach Coconut,Shower Gel,$7.00
Power Lifter,Activated Charcoal Face Mask,$8.50
Island White Sand,Super Smooth Body Lotion,$7.00
CocoShea Cucumber,Moisturizing Body Wash,$13.50
Fresh Sea Salt Mango,Shower Gel,$7.00
Pink Lily & Bamboo,Cooling Aloe Mist,$7.00
CocoShea Cucumber,Body Lotion,$13.50
CocoShea Honey,Soothing Body Butter,$16.50
In The Sun,Shower Gel,$12.50
CocoShea Cucumber,Foaming Cucumber Body Wash,$16.50
Waikiki Beach Coconut,Body Cream,$7.00
CocoShea Honey,24-Hour Moisture Body Lotion,$13.50
Well Heeled,Invigorating Foot Cream,$14.50
Fresh Sea Salt Mango,Body Cream,$7.00
Waikiki Beach Coconut,Fine Fragrance Mist,$7.00
CocoShea Cucumber,Revitalizing Cucumber Face Mask,$8.50
In The Sun,Fine Fragrance Mist,$14.50
CocoShea Honey,Softening Body Scrub,$16.50
Pink Lily & Bamboo,Super Smooth Body Lotion,$7.00
Island White Sand,Aqua Cool Aloe Lotion,$7.00
In The Sun,Air Brush Body Bronzer,$18.50
CocoShea Honey,Shower Jelly,$16.50
In The Sun,Body Cream,$13.50
CocoShea Honey,Moisturizing Body Oil,$16.50
Island White Sand,Shower Gel,$7.00
Pink Lily & Bamboo,Body Cream,$7.00
CocoShea Coconut,Coconut Oil Body Melt,$16.50
Fresh Sea Salt Mango,Cooling Aloe Mist,$7.00
Island White Sand,Fine Fragrance Mist,$7.00
CocoShea Cucumber,Cucumber Water All-Over Mist,$16.50
CocoShea Coconut,In-Shower Coconut Oil Body Lotion,$16.50
Island White Sand,Body Cream,$7.00
Pink Lily & Bamboo,Shower Gel,$7.00
Pink Lily & Bamboo,Fine Fragrance Mist,$7.00
Fresh Sea Salt Mango,Fine Fragrance Mist,$7.00
Hit Restart,Activated Charcoal Gel Cleanser,$13.50
Fresh Sea Salt Mango,Super Smooth Body Lotion,$7.00
CocoShea Cucumber,Lightly Smoothing Body Scrub,$16.50
CocoShea Coconut,Intense Moisture Body Butter,$16.50
Cool as a Cucumber,Face Sheet Mask,$4.95
Keep it Fruity,Face Sheet Mask,$4.95
If you Shea So,Face Sheet Mask,$4.95
Totally Tea-riffic,Face Sheet Mask,$4.95
